"issue","congress","committee_el","label","pred","importance_intl","importance_dom","importance_prof","intl_percentage","dom_percentage","prof_percentage","decision"
"Agriculture and Food","115","Committee on Agriculture",19,0.655795777083647,22.7075,45.5873,42.8147,0.204370463371719,0.410291649228914,0.385337887399367,"dom"
"Agriculture and Food","115","Committee on Agriculture, Nutrition, and Forestry",2,0.582426557132673,1.9169,10.0471,5.054,0.112639558114937,0.59038077329886,0.296979668586203,"dom"
"Agriculture and Food","115","Committee on Appropriations",31,0.541632862601718,28.0001,48.178,37.1047,0.247169914585445,0.425289629140523,0.327540456274033,"dom"
"Agriculture and Food","115","Committee on Armed Services",22,0.504741542148139,24.9724,34.4017,31.6746,0.274275195582145,0.37783845348698,0.347886350930875,"dom"
"Agriculture and Food","115","Committee on Banking, Housing, and Urban Affairs",3,0.584371155357861,1.3457,2.4768,1.7902,0.239759830384663,0.441284943075525,0.318955226539812,"dom"
"Agriculture and Food","115","Committee on Commerce, Science, and Transportation",2,0.508237098928426,0.7782,3.9041,1.5139,0.125593105451728,0.630079726283851,0.24432716826442,"dom"
"Agriculture and Food","115","Committee on Education and the Workforce",7,0.603183151415485,9.9612,14.0434,14.5673,0.258250176942282,0.364083698236281,0.377666124821437,"prof"
"Agriculture and Food","115","Committee on Energy and Commerce",23,0.516574676984944,20.6342,37.9899,28.533,0.236747207054847,0.435878431017094,0.327374361928059,"dom"
"Agriculture and Food","115","Committee on Energy and Natural Resources",0,0.536036300650575,0.5617,2.4235,1.0433,0.139431550204791,0.601588680650366,0.258979769144843,"dom"
"Agriculture and Food","115","Committee on Environment and Public Works",0,0.56569734137579,1.7729,2.5991,2.3291,0.264568503678501,0.387861694348689,0.34756980197281,"dom"
"Agriculture and Food","115","Committee on Ethics",3,0.504720286275226,0.8078,3.5745,1.3215,0.141624881657842,0.626687471510221,0.231687646831937,"dom"
"Agriculture and Food","115","Committee on Finance",0,0.487658047626523,0.2338,1.1176,0.3385,0.138351381738564,0.66134090774602,0.200307710515415,"dom"
"Agriculture and Food","115","Committee on Financial Services",20,0.496169023166673,21.1428,34.886,27.3481,0.253581027838646,0.418413253551043,0.32800571861031,"dom"
"Agriculture and Food","115","Committee on Foreign Affairs",18,0.563362128928498,12.7652,18.5194,16.8792,0.265037227129089,0.384508697403444,0.350454075467467,"dom"
"Agriculture and Food","115","Committee on Foreign Relations",1,0.576661996285469,1.6936,1.9997,2.3574,0.279901499000116,0.330490687027947,0.389607813971937,"prof"
"Agriculture and Food","115","Committee on Health, Education, Labor, and Pensions",0,0.46133867622,0.2769,1.3396,0.4158,0.136249569453329,0.659154652364316,0.204595778182355,"dom"
"Agriculture and Food","115","Committee on Homeland Security",7,0.513338915315697,9.5168,10.7734,11.8346,0.296244645881064,0.335360842713418,0.368394511405518,"prof"
"Agriculture and Food","115","Committee on House Administration",1,0.428554076468242,2.6466,1.592,3.0529,0.362970582184736,0.218336419118151,0.418692998697113,"prof"
"Agriculture and Food","115","Committee on Indian Affairs",2,0.569370749939713,2.8733,6.5877,4.2589,0.209425724677294,0.480156560907878,0.310417714414828,"dom"
"Agriculture and Food","115","Committee on Natural Resources",4,0.524964060342484,9.4138,10.2632,12.1502,0.295778453649708,0.322466318117836,0.381755228232455,"prof"
"Agriculture and Food","115","Committee on Oversight and Accountability",5,0.465981350506999,10.9439,8.4493,12.7899,0.34005114485553,0.262538413018013,0.397410442126458,"prof"
"Agriculture and Food","115","Committee on Rules",1,0.433013412611934,1.9362,1.4917,2.3217,0.336753861138166,0.259444135244191,0.403802003617643,"prof"
"Agriculture and Food","115","Committee on Rules and Administration",0,0.59012854980256,0.2496,1.2284,0.5902,0.120684653321729,0.593946426844599,0.285368919833672,"dom"
"Agriculture and Food","115","Committee on Science, Space, and Technology",1,0.457299714675317,2.8689,1.7768,3.2012,0.365609348914858,0.226433368591418,0.407957282493724,"prof"
"Agriculture and Food","115","Committee on Small Business",1,0.609646330988674,1.6567,3.7014,2.4428,0.212372931328436,0.474483713417683,0.313143355253881,"dom"
"Agriculture and Food","115","Committee on Small Business and Entrepreneurship",2,0.589126825009245,1.0555,1.6994,1.545,0.245470824902905,0.395218493453336,0.359310681643759,"dom"
"Agriculture and Food","115","Committee on Transportation and Infrastructure",5,0.570434580205404,2.2305,5.9849,3.6856,0.187421225107134,0.502890513402235,0.309688261490631,"dom"
"Agriculture and Food","115","Committee on Veterans' Affairs",2,0.468011434291162,1.6676,2.0899,2.1892,0.280424437082752,0.351438613012259,0.368136949904989,"prof"
"Agriculture and Food","115","Committee on Ways and Means",5,0.483823527644908,12.3954,18.1737,15.041,0.271768752973574,0.398457797724627,0.329773449301799,"dom"
"Agriculture and Food","115","Committee on the Budget",8,0.514084312969188,13.691,19.32,17.666,0.270162006432899,0.3812380369793,0.348599956587801,"dom"
"Agriculture and Food","115","Committee on the Judiciary",2,0.462214130553565,7.2939,4.9808,8.2508,0.355357969355192,0.242664003312952,0.401978027331856,"prof"
"Agriculture and Food","115","Permanent Select Committee on Intelligence",10,0.548707676801962,8.7116,16.7629,12.1642,0.231453264857713,0.445363415845925,0.323183319296363,"dom"
"Agriculture and Food","115","Select Committee on Intelligence",2,0.504652108106019,5.6621,8.4459,7.0775,0.2672629864766,0.398664180689623,0.334072832833778,"dom"
"Agriculture and Food","115","Special Committee on Aging",4,0.530212739967765,4.0781,7.5631,5.2217,0.24183859241293,0.448505298614117,0.309656108972952,"dom"
"Agriculture and Food","115",NA,79,0.528109895985967,62.3621,134.6732,86.0084,0.220326755197166,0.475803559662342,0.303869685140493,"dom"
"Agriculture and Food","116","Commission on Security and Cooperation in Europe",7,0.790869594298682,3.1331,6.9833,5.5596,0.199866037254402,0.445477162541465,0.354656800204134,"dom"
"Agriculture and Food","116","Committee on Agriculture",40,0.834989192762466,20.9975,56.8681,50.2142,0.163940761931233,0.444005221744569,0.392054016324198,"dom"
"Agriculture and Food","116","Committee on Agriculture, Nutrition, and Forestry",6,0.849598615145909,3.6639,9.2826,8.265,0.172731772859062,0.437621101760837,0.3896471253801,"dom"
"Agriculture and Food","116","Committee on Appropriations",44,0.77389803588106,24.161,49.6985,40.0574,0.212093201272155,0.43626977208825,0.351637026639594,"dom"
"Agriculture and Food","116","Committee on Armed Services",47,0.790408033202803,22.0493,48.6841,38.933,0.201057935703187,0.443929042988554,0.355013021308258,"dom"
"Agriculture and Food","116","Committee on Banking, Housing, and Urban Affairs",3,0.731349014892031,1.1153,2.9506,2.1455,0.179556943684194,0.475029783945648,0.345413272370158,"dom"
"Agriculture and Food","116","Committee on Commerce, Science, and Transportation",3,0.805261908477674,1.4663,2.7145,2.1241,0.232565147742232,0.430538152865232,0.336896699392536,"dom"
"Agriculture and Food","116","Committee on Education and the Workforce",23,0.753561525864851,13.0446,22.8609,19.0745,0.237260822117134,0.415803928701346,0.346935249181521,"dom"
"Agriculture and Food","116","Committee on Energy and Commerce",40,0.774586844001871,19.1239,46.0447,36.0543,0.188928592245431,0.454884220863066,0.356187186891504,"dom"
"Agriculture and Food","116","Committee on Energy and Natural Resources",2,0.806133276214602,0.7589,1.7801,1.3836,0.193468617753531,0.453806148982818,0.352725233263652,"dom"
"Agriculture and Food","116","Committee on Environment and Public Works",3,0.823613456088104,1.4226,3.6255,2.4224,0.190429020815206,0.485308881600964,0.32426209758383,"dom"
"Agriculture and Food","116","Committee on Ethics",2,0.80707711231863,1.5296,3.4212,2.7186,0.199441938091637,0.446084439460714,0.354473622447649,"dom"
"Agriculture and Food","116","Committee on Finance",1,0.833666750342856,0.453,0.9337,0.9007,0.198041444434729,0.40819270787794,0.393765847687331,"dom"
"Agriculture and Food","116","Committee on Financial Services",47,0.770365371786412,27.6183,50.0755,42.1065,0.230536150577252,0.417991440755991,0.351472408666756,"dom"
"Agriculture and Food","116","Committee on Foreign Affairs",22,0.816959972180215,12.4965,23.3424,20.6683,0.221148809355268,0.41308718181046,0.365764008834273,"dom"
"Agriculture and Food","116","Committee on Foreign Relations",3,0.646279894671006,1.8754,5.1077,3.1912,0.184327177299667,0.50201979497361,0.313653027726723,"dom"
"Agriculture and Food","116","Committee on Health, Education, Labor, and Pensions",1,0.772002695677642,0.9165,1.5956,1.3794,0.235513298214056,0.410021842477194,0.35446485930875,"dom"
"Agriculture and Food","116","Committee on Homeland Security",10,0.748281918524443,7.0346,10.2636,9.7023,0.260535916001555,0.380126293957519,0.359337790040925,"dom"
"Agriculture and Food","116","Committee on Homeland Security and Governmental Affairs",2,0.806725005207317,0.9165,1.8574,1.4629,0.216318919939577,0.438396903323263,0.34528417673716,"dom"
"Agriculture and Food","116","Committee on House Administration",4,0.802995278145762,1.6734,4.2923,3.4198,0.178296308134889,0.457333120238666,0.364370571626445,"dom"
"Agriculture and Food","116","Committee on Indian Affairs",8,0.785356514149734,4.5072,8.207,6.9874,0.228773297600195,0.416565152068867,0.354661550330938,"dom"
"Agriculture and Food","116","Committee on Natural Resources",17,0.766466450682206,8.8691,15.3828,13.7243,0.233543640490623,0.405064224435304,0.361392135074073,"dom"
"Agriculture and Food","116","Committee on Oversight and Accountability",14,0.75905880322175,8.7603,15.3363,12.8513,0.237098725502667,0.415079070799694,0.347822203697639,"dom"
"Agriculture and Food","116","Committee on Rules",3,0.83067914576154,2.0508,2.6171,2.7718,0.275656276462761,0.351774937161445,0.372568786375795,"prof"
"Agriculture and Food","116","Committee on Rules and Administration",1,0.835006550655888,0.7109,0.8562,0.9052,0.287546009788456,0.346317194515229,0.366136795696315,"prof"
"Agriculture and Food","116","Committee on Science, Space, and Technology",3,0.822222923274542,1.3095,3.6596,2.5136,0.175003675143999,0.489074799203496,0.335921525652505,"dom"
"Agriculture and Food","116","Committee on Small Business",4,0.765547548578689,2.5134,3.4709,3.1578,0.274925892300456,0.379661128187178,0.345412979512366,"dom"
"Agriculture and Food","116","Committee on Small Business and Entrepreneurship",1,0.917451687498626,0.6433,1.3872,1.1891,0.199807429494347,0.430860976518822,0.369331593986831,"dom"
"Agriculture and Food","116","Committee on Transportation and Infrastructure",14,0.794760723411434,7.4042,15.2133,12.5555,0.210508060159782,0.43252779120348,0.356964148636738,"dom"
"Agriculture and Food","116","Committee on Veterans' Affairs",3,0.768919626257527,1.7361,4.0043,3.1148,0.19605429578101,0.452197578823742,0.351748125395248,"dom"
"Agriculture and Food","116","Committee on Ways and Means",21,0.772869227448916,12.0298,23.7611,19.0963,0.219173140550074,0.432907854654637,0.347919004795289,"dom"
"Agriculture and Food","116","Committee on the Budget",25,0.760301375942459,13.0811,28.0887,22.0153,0.207028239252609,0.444546261697774,0.348425499049618,"dom"
"Agriculture and Food","116","Committee on the Judiciary",9,0.791030820549847,4.8922,8.9523,7.5696,0.228456951261085,0.418056327373086,0.353486721365829,"dom"
"Agriculture and Food","116","Joint Committee on Taxation",1,0.723985847835096,0.4542,0.9665,0.8164,0.203030709400563,0.432032542130437,0.364936748469,"dom"
"Agriculture and Food","116","Joint Committee on the Library",0,0.770229682746955,0.4975,0.7841,0.7102,0.249774073702179,0.393664022492218,0.356561903805603,"dom"
"Agriculture and Food","116","Joint Economic Committee",7,0.736622573471545,3.653,7.6463,5.9615,0.211635613644791,0.442986420096403,0.345377966258806,"dom"
"Agriculture and Food","116","Permanent Select Committee on Intelligence",21,0.805279263009365,10.3416,21.6291,17.9385,0.207208290255103,0.433368998100551,0.359422711644346,"dom"
"Agriculture and Food","116","Select Committee on Ethics",3,0.777958189773113,1.3682,3.0253,2.2219,0.206820449254769,0.45731172718203,0.335867823563201,"dom"
"Agriculture and Food","116","Select Committee on Intelligence",9,0.785259899073403,3.6886,9.0058,7.2054,0.185358646820571,0.45255731213379,0.362084041045639,"dom"
"Agriculture and Food","116","Select Committee on the Climate Crisis",1,0.691617737082251,0.4555,0.9829,0.7714,0.206127251334962,0.444791383835641,0.349081364829396,"dom"
"Agriculture and Food","116","Select Committee on the Modernization of Congress",1,0.881690705047651,0.5047,1.4269,1.0567,0.168892012180839,0.477495566040893,0.353612421778269,"dom"
"Agriculture and Food","116","Special Committee on Aging",10,0.805191189639835,5.2034,11.3112,9.4719,0.200234737267427,0.435272160544898,0.364493102187674,"dom"
"Agriculture and Food","116","United States Senate Caucus on International Narcotics Control",4,0.76379545983446,2.075,2.9239,2.8726,0.263609223146795,0.371453979546465,0.36493679730674,"dom"
"Agriculture and Food","116",NA,10,0.761247108433393,8.1398,14.049,11.8482,0.239145635631812,0.412756705937656,0.348097658430531,"dom"
"Agriculture and Food","117","Committee on Agriculture",42,0.806987596382772,27.2369,59.9655,53.0092,0.194255682126158,0.427678594353106,0.378065723520736,"dom"
"Agriculture and Food","117","Committee on Agriculture, Nutrition, and Forestry",16,0.835543557993182,10.1783,24.4626,20.8077,0.183562795093113,0.441176152328463,0.375261052578424,"dom"
"Agriculture and Food","117","Committee on Appropriations",51,0.75479930031629,32.6056,60.4338,44.9971,0.236209987937973,0.437810289307538,0.325979722754489,"dom"
"Agriculture and Food","117","Committee on Armed Services",64,0.762128425600412,37.6673,71.3253,52.1181,0.233797631069817,0.442709888294198,0.323492480635985,"dom"
"Agriculture and Food","117","Committee on Banking, Housing, and Urban Affairs",7,0.797563610033415,4.8584,7.7018,6.1348,0.259876972452527,0.411971115271463,0.32815191227601,"dom"
"Agriculture and Food","117","Committee on Commerce, Science, and Transportation",7,0.76956498846375,3.9259,9.7762,5.9985,0.199278194572754,0.496238693237769,0.304483112189477,"dom"
"Agriculture and Food","117","Committee on Education and the Workforce",25,0.715458648619185,13.7884,28.0531,17.6488,0.231775600391997,0.471557548037243,0.29666685157076,"dom"
"Agriculture and Food","117","Committee on Energy and Commerce",31,0.757331708541967,20.6156,39.4373,31.1285,0.226094356963153,0.432514745331833,0.341390897705014,"dom"
"Agriculture and Food","117","Committee on Energy and Natural Resources",3,0.81546015234292,1.8914,3.018,2.4047,0.258596409674464,0.412627664374291,0.328775925951245,"dom"
"Agriculture and Food","117","Committee on Environment and Public Works",3,0.74069780112395,1.3861,2.9344,1.9581,0.220765775809894,0.467365336221451,0.311868887968655,"dom"
"Agriculture and Food","117","Committee on Ethics",2,0.792069743649217,1.8759,2.024,2.3342,0.300909513803115,0.324665950177251,0.374424536019634,"prof"
"Agriculture and Food","117","Committee on Finance",5,0.736109753225545,3.0753,4.3431,3.8008,0.274110453508272,0.387113163148888,0.338776383342841,"dom"
"Agriculture and Food","117","Committee on Financial Services",38,0.724108443159665,24.6055,41.1177,32.8868,0.249523374911267,0.416972923638576,0.333503701450157,"dom"
"Agriculture and Food","117","Committee on Foreign Affairs",27,0.755108736425838,16.4681,31.8574,23.4272,0.229511920805768,0.443988867317885,0.326499211876348,"dom"
"Agriculture and Food","117","Committee on Foreign Relations",3,0.776423253172437,2.2473,2.9163,3.0577,0.273350929901597,0.354724921849343,0.37192414824906,"prof"
"Agriculture and Food","117","Committee on Health, Education, Labor, and Pensions",2,0.821880490731334,0.9815,2.485,1.2792,0.206818804391344,0.523631919421792,0.269549276186864,"dom"
"Agriculture and Food","117","Committee on Homeland Security",13,0.742355336911888,7.8707,13.0356,9.5883,0.258101434352312,0.427472404950385,0.314426160697304,"dom"
"Agriculture and Food","117","Committee on Homeland Security and Governmental Affairs",2,0.819686526764692,1.7209,2.1222,2.1357,0.28783367899913,0.354954171405633,0.357212149595237,"prof"
"Agriculture and Food","117","Committee on House Administration",2,0.72381869413117,0.9328,2.1148,1.3452,0.212347477690767,0.481424148606811,0.306228373702422,"dom"
"Agriculture and Food","117","Committee on Indian Affairs",2,0.758270926238247,1.1431,1.9566,1.3036,0.25960075397997,0.444348556764245,0.296050689255785,"dom"
"Agriculture and Food","117","Committee on Natural Resources",14,0.795584418227343,8.6388,15.0201,11.9405,0.242667011241762,0.421920032360096,0.335412956398142,"dom"
"Agriculture and Food","117","Committee on Oversight and Accountability",18,0.761384853947372,13.8282,19.657,17.3632,0.271949559868157,0.386580502041362,0.341469938090481,"dom"
"Agriculture and Food","117","Committee on Rules",2,0.78786458118224,1.0887,2.3498,1.4662,0.221970762737782,0.47909148367892,0.298937753583298,"dom"
"Agriculture and Food","117","Committee on Rules and Administration",2,0.746284001518832,0.966,2.4223,1.369,0.203056355495764,0.50917537258529,0.287768271918946,"dom"
"Agriculture and Food","117","Committee on Science, Space, and Technology",4,0.712201926111595,1.9162,3.7947,2.4116,0.235912588488766,0.467183748845799,0.296903662665435,"dom"
"Agriculture and Food","117","Committee on Small Business",3,0.846732679995928,3.1337,2.1035,3.1717,0.372664676711579,0.25015162506392,0.3771836982245,"prof"
"Agriculture and Food","117","Committee on Small Business and Entrepreneurship",1,0.695842573655315,0.5188,0.7827,0.6613,0.264316282861219,0.398767067454657,0.336916649684125,"dom"
"Agriculture and Food","117","Committee on Transportation and Infrastructure",11,0.792087031959529,7.6531,11.9579,10.1025,0.257563060561698,0.402439968364548,0.339996971073754,"dom"
"Agriculture and Food","117","Committee on Veterans' Affairs",4,0.819478538382481,2.0069,4.8567,3.0009,0.203446702823255,0.492341223579502,0.304212073597243,"dom"
"Agriculture and Food","117","Committee on Ways and Means",15,0.768782004337081,8.2358,16.7847,12.1569,0.22152705676029,0.451475896646888,0.326997046592823,"dom"
"Agriculture and Food","117","Committee on the Budget",22,0.77204967950686,15.1743,25.3833,20.8291,0.247191981324945,0.413498363652061,0.339309655022994,"dom"
"Agriculture and Food","117","Committee on the Judiciary",6,0.747488336245189,4.4588,7.7339,6.0116,0.244931142642123,0.424839186346083,0.330229671011794,"dom"
"Agriculture and Food","117","Joint Committee on Printing",4,0.79379819193574,1.8648,4.9425,3.1729,0.186849962926595,0.495230556501874,0.317919480571532,"dom"
"Agriculture and Food","117","Joint Committee on Taxation",3,0.762976569443914,1.5071,3.5343,2.276,0.205961133736026,0.482999426025638,0.311039440238336,"dom"
"Agriculture and Food","117","Joint Committee on the Library",2,0.774862952697129,1.2826,1.9213,1.5932,0.267369869296033,0.400512809822601,0.332117320881366,"dom"
"Agriculture and Food","117","Joint Economic Committee",9,0.730941777891741,5.364,11.7263,7.9304,0.214382491297206,0.468663946252503,0.316953562450291,"dom"
"Agriculture and Food","117","Permanent Select Committee on Intelligence",4,0.764557269194066,1.7838,4.4931,2.8075,0.196358592752411,0.494595130113161,0.309046277134428,"dom"
"Agriculture and Food","117","Select Committee on Economic Disparity and Fairness in Growth",1,0.842929672404203,0.9871,2.9593,1.7605,0.17296605863078,0.51854772293189,0.30848621843733,"dom"
"Agriculture and Food","117","Select Committee on Ethics",2,0.777789224972075,1.0409,2.5716,1.6113,0.199261074313718,0.492285309544776,0.308453616141506,"dom"
"Agriculture and Food","117","Select Committee on Intelligence",4,0.75586501979198,1.7333,3.6191,2.4781,0.221352404061043,0.462179937424175,0.316467658514782,"dom"
"Agriculture and Food","117","Select Committee on the Climate Crisis",10,0.726568626656709,6.5551,10.9449,8.2781,0.254289493795121,0.424581330664401,0.321129175540478,"dom"
"Agriculture and Food","117","Select Committee on the Modernization of Congress",3,0.749440885922636,1.4751,3.5359,2.4638,0.197343072724354,0.473042756996843,0.329614170278803,"dom"
"Agriculture and Food","117","Select Committee to Investigate the January 6th Attack on the United States Capitol",1,0.890941187530825,1.0321,0.8642,1.2179,0.331417378459958,0.277503050542675,0.391079570997367,"prof"
"Agriculture and Food","117","Select Subcommittee on the Coronavirus Pandemic",1,0.620174847273505,0.7526,1.2501,0.5961,0.289595197783592,0.481029706018162,0.229375096198245,"dom"
"Agriculture and Food","117","Special Committee on Aging",2,0.795879142955233,1.1621,2.342,1.461,0.234053694789632,0.47169241304304,0.294253892167328,"dom"
"Agriculture and Food","117","United States Senate Caucus on International Narcotics Control",1,0.950926048423077,0.6684,2.1632,1.2701,0.162956822780798,0.527391081746593,0.309652095472609,"dom"
"Agriculture and Food","117",NA,12,0.765536202331782,11.6093,18.9764,14.7294,0.256190541342731,0.418765488766438,0.325043969890831,"dom"
"Agriculture and Food","118","Committee on Agriculture",30,0.760081845698252,14.6324,33.8275,28.205,0.190861789423843,0.441238428537701,0.367899782038456,"dom"
"Agriculture and Food","118","Committee on Agriculture, Nutrition, and Forestry",12,0.717295862408853,6.2583,12.9573,10.7194,0.20906296976783,0.432847836980124,0.358089193252046,"dom"
"Agriculture and Food","118","Committee on Appropriations",55,0.656643814685709,27.2496,41.1914,29.7186,0.277605043215335,0.419636999335776,0.302757957448889,"dom"
"Agriculture and Food","118","Committee on Armed Services",59,0.629020324730692,26.2052,41.1797,26.233,0.279916554419614,0.439869939402614,0.280213506177772,"dom"
"Agriculture and Food","118","Committee on Banking, Housing, and Urban Affairs",8,0.625906812967248,3.4785,4.3409,2.9781,0.322157906922899,0.402028247279463,0.275813845797638,"dom"
"Agriculture and Food","118","Committee on Commerce, Science, and Transportation",6,0.604152586930044,2.5403,4.2191,2.727,0.267783353010626,0.444752487771968,0.287464159217406,"dom"
"Agriculture and Food","118","Committee on Education and the Workforce",8,0.616856909105725,5.5302,6.9119,5.5983,0.306545309416643,0.383134520298885,0.310320170284473,"dom"
"Agriculture and Food","118","Committee on Energy and Commerce",38,0.670320250791088,18.7528,32.9888,23.7961,0.24825749261627,0.436719677723839,0.315022829659892,"dom"
"Agriculture and Food","118","Committee on Energy and Natural Resources",3,0.629952186760759,1.2952,1.883,1.1593,0.298605187319885,0.434121037463977,0.267273775216138,"dom"
"Agriculture and Food","118","Committee on Environment and Public Works",3,0.602334494703665,1.4561,1.4419,1.2252,0.353148040357004,0.34970411331005,0.297147846332945,"intl"
"Agriculture and Food","118","Committee on Ethics",2,0.665370684321,0.6916,1.4642,0.7469,0.23826092947945,0.50442691287422,0.257312157646329,"dom"
"Agriculture and Food","118","Committee on Finance",3,0.700336543095442,0.9967,1.8752,1.0912,0.251495041760238,0.473164946632687,0.275340011607075,"dom"
"Agriculture and Food","118","Committee on Financial Services",35,0.624804436816428,17.3873,26.0172,17.7095,0.284506005170665,0.425715875249534,0.289778119579802,"dom"
"Agriculture and Food","118","Committee on Foreign Affairs",5,0.640012815100676,2.6299,3.6512,2.5049,0.299328477122695,0.415570225358525,0.28510129751878,"dom"
"Agriculture and Food","118","Committee on Foreign Relations",3,0.504686180929251,1.2306,2.5728,1.2902,0.241597298570755,0.505104444793466,0.253298256635778,"dom"
"Agriculture and Food","118","Committee on Health, Education, Labor, and Pensions",2,0.700927186024097,0.9183,1.2362,1.0971,0.282414811169886,0.380182064214541,0.337403124615574,"dom"
"Agriculture and Food","118","Committee on Homeland Security",4,0.677382310100754,1.5947,2.5821,1.4736,0.282227806880929,0.456976497239133,0.260795695879938,"dom"
"Agriculture and Food","118","Committee on Homeland Security and Governmental Affairs",1,0.591388807754115,1.0028,1.1646,1.0503,0.311651179413867,0.361935544022128,0.326413276564005,"dom"
"Agriculture and Food","118","Committee on House Administration",2,0.616030065604441,0.7429,1.113,0.5466,0.309219562955255,0.463267429760666,0.227513007284079,"dom"
"Agriculture and Food","118","Committee on Indian Affairs",2,0.784010346706874,0.9389,1.2116,0.9606,0.301790363537013,0.389444248015171,0.308765388447816,"dom"
"Agriculture and Food","118","Committee on Natural Resources",41,0.64299689437071,20.5576,31.4196,22.1107,0.277475809140224,0.424085444451793,0.298438746407983,"dom"
"Agriculture and Food","118","Committee on Oversight and Accountability",11,0.676638626925433,6.5895,8.6582,7.2711,0.292622164591364,0.384487628115175,0.322890207293461,"dom"
"Agriculture and Food","118","Committee on Rules",3,0.610142167436501,1.1479,1.4365,1.0225,0.318251129779035,0.3982644376057,0.283484432615265,"dom"
"Agriculture and Food","118","Committee on Rules and Administration",1,0.593149341593971,0.3942,0.4318,0.2775,0.357227004984141,0.391300407793385,0.251472587222474,"dom"
"Agriculture and Food","118","Committee on Science, Space, and Technology",16,0.645396499336055,7.1592,10.8811,7.4675,0.280667090066568,0.426579320835195,0.292753589098237,"dom"
"Agriculture and Food","118","Committee on Small Business",2,0.78527240358043,1.792,1.8631,2.145,0.308960190341546,0.321218599679316,0.369821209979138,"prof"
"Agriculture and Food","118","Committee on Small Business and Entrepreneurship",2,0.556260792739036,1.1342,0.9976,0.876,0.377086242436332,0.331670988762551,0.291242768801117,"intl"
"Agriculture and Food","118","Committee on Transportation and Infrastructure",48,0.628255689015205,24.2389,35.2566,25.0531,0.286686000714382,0.416998034266682,0.296315965018936,"dom"
"Agriculture and Food","118","Committee on Veterans' Affairs",15,0.634675677123329,7.0314,11.1114,6.9161,0.280594918372315,0.443411322923193,0.275993758704492,"dom"
"Agriculture and Food","118","Committee on Ways and Means",35,0.621432462675663,18.9898,22.4919,18.5659,0.316245778349176,0.374567842844677,0.309186378806147,"dom"
"Agriculture and Food","118","Committee on the Budget",4,0.552089700141839,3.5691,3.3157,3.4762,0.344474471576103,0.320017372840459,0.335508155583438,"intl"
"Agriculture and Food","118","Committee on the Judiciary",13,0.655361578420291,8.5548,11.1193,8.6891,0.301616178710442,0.392032633835392,0.306351187454166,"dom"
"Agriculture and Food","118","Joint Committee on Printing",3,0.57793911569016,1.2723,1.9582,1.2022,0.28702596611546,0.441762357028448,0.271211676856092,"dom"
"Agriculture and Food","118","Joint Committee on Taxation",1,0.581927534236131,0.5245,0.5185,0.4057,0.362048733347139,0.357907089114378,0.280044177538483,"intl"
"Agriculture and Food","118","Joint Committee on the Library",3,0.618180253921353,1.3676,1.9215,1.3401,0.295429015812667,0.415082519657824,0.289488464529508,"dom"
"Agriculture and Food","118","Joint Economic Committee",8,0.629303184767942,4.0518,6.5502,3.5556,0.286192575012714,0.462663163248008,0.251144261739278,"dom"
"Agriculture and Food","118","Permanent Select Committee on Intelligence",7,0.550570095820275,3.3318,4.2467,2.8692,0.318902725001675,0.406472237908822,0.274625037089503,"dom"
"Agriculture and Food","118","Select Committee on Ethics",2,0.591878814354411,1.0114,0.9562,0.7476,0.372495580436064,0.352165586328816,0.275338833235121,"intl"
"Agriculture and Food","118","Select Committee on Intelligence",3,0.570211535729214,1.5038,3.0158,1.3315,0.257011502110714,0.515424450103399,0.227564047785886,"dom"
"Agriculture and Food","118","Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party",2,0.602839446427683,0.8988,1.1736,0.8509,0.307460746416721,0.401464098792461,0.291075154790819,"dom"
"Agriculture and Food","118","Select Subcommittee on the Coronavirus Pandemic",2,0.723495054873011,0.8217,1.723,0.9085,0.237953202826364,0.498957488706128,0.263089308467508,"dom"
"Agriculture and Food","118","Select Subcommittee on the Weaponization of the Federal Government",1,0.668636957391297,0.4558,1.0151,0.7866,0.201904761904762,0.449656699889258,0.34843853820598,"dom"
"Agriculture and Food","118","Special Committee on Aging",2,0.698152505933973,0.7805,1.158,0.7609,0.289138327035638,0.42898421871527,0.281877454249092,"dom"
"Agriculture and Food","118",NA,15,0.688119662656528,9.7672,13.7567,10.6344,0.285939288547732,0.402733742604287,0.311326968847981,"dom"
"Armed Forces","115","Committee on Agriculture",12,0.381790904028105,28.6395,37.7485,39.0617,0.271593944790739,0.357976362189745,0.370429693019515,"prof"
"Armed Forces","115","Committee on Agriculture, Nutrition, and Forestry",3,0.347798697503081,2.8677,8.4439,5.0205,0.175586727977419,0.517012509107831,0.307400762914751,"dom"
"Armed Forces","115","Committee on Appropriations",18,0.390780006022067,36.0181,53.9023,51.662,0.254396732927256,0.38071328074676,0.364889986325984,"dom"
"Armed Forces","115","Committee on Armed Services",16,0.439241282078154,34.6797,40.3237,43.374,0.292958791120602,0.340636810742591,0.366404398136807,"prof"
"Armed Forces","115","Committee on Banking, Housing, and Urban Affairs",1,0.360748263287894,2.0477,3.3002,2.9098,0.247974617629606,0.399651234605278,0.352374147765116,"dom"
"Armed Forces","115","Committee on Commerce, Science, and Transportation",3,0.34719341108922,1.3302,4.555,2.5429,0.157829166716104,0.540453957594238,0.301716875689657,"dom"
