"GEO_ID","NAME","C24010_001E","C24010_001M","C24010_002E","C24010_002M","C24010_003E","C24010_003M","C24010_004E","C24010_004M","C24010_005E","C24010_005M","C24010_006E","C24010_006M","C24010_007E","C24010_007M","C24010_008E","C24010_008M","C24010_009E","C24010_009M","C24010_010E","C24010_010M","C24010_011E","C24010_011M","C24010_012E","C24010_012M","C24010_013E","C24010_013M","C24010_014E","C24010_014M","C24010_015E","C24010_015M","C24010_016E","C24010_016M","C24010_017E","C24010_017M","C24010_018E","C24010_018M","C24010_019E","C24010_019M","C24010_020E","C24010_020M","C24010_021E","C24010_021M","C24010_022E","C24010_022M","C24010_023E","C24010_023M","C24010_024E","C24010_024M","C24010_025E","C24010_025M","C24010_026E","C24010_026M","C24010_027E","C24010_027M","C24010_028E","C24010_028M","C24010_029E","C24010_029M","C24010_030E","C24010_030M","C24010_031E","C24010_031M","C24010_032E","C24010_032M","C24010_033E","C24010_033M","C24010_034E","C24010_034M","C24010_035E","C24010_035M","C24010_036E","C24010_036M","C24010_037E","C24010_037M","C24010_038E","C24010_038M","C24010_039E","C24010_039M","C24010_040E","C24010_040M","C24010_041E","C24010_041M","C24010_042E","C24010_042M","C24010_043E","C24010_043M","C24010_044E","C24010_044M","C24010_045E","C24010_045M","C24010_046E","C24010_046M","C24010_047E","C24010_047M","C24010_048E","C24010_048M","C24010_049E","C24010_049M","C24010_050E","C24010_050M","C24010_051E","C24010_051M","C24010_052E","C24010_052M","C24010_053E","C24010_053M","C24010_054E","C24010_054M","C24010_055E","C24010_055M","C24010_056E","C24010_056M","C24010_057E","C24010_057M","C24010_058E","C24010_058M","C24010_059E","C24010_059M","C24010_060E","C24010_060M","C24010_061E","C24010_061M","C24010_062E","C24010_062M","C24010_063E","C24010_063M","C24010_064E","C24010_064M","C24010_065E","C24010_065M","C24010_066E","C24010_066M","C24010_067E","C24010_067M","C24010_068E","C24010_068M","C24010_069E","C24010_069M","C24010_070E","C24010_070M","C24010_071E","C24010_071M","C24010_072E","C24010_072M","C24010_073E","C24010_073M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Male","Margin of Error!!Total!!Male","Estimate!!Total!!Male!!Management, business, science, and arts occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","Estimate!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","Margin of Error!!Total!!Male!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","Estimate!!Total!!Male!!Service occupations","Margin of Error!!Total!!Male!!Service occupations","Estimate!!Total!!Male!!Service occupations!!Healthcare support occupations","Margin of Error!!Total!!Male!!Service occupations!!Healthcare support occupations","Estimate!!Total!!Male!!Service occupations!!Protective service occupations","Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations","Estimate!!Total!!Male!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors","Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors","Estimate!!Total!!Male!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","Margin of Error!!Total!!Male!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","Estimate!!Total!!Male!!Service occupations!!Food preparation and serving related occupations","Margin of Error!!Total!!Male!!Service occupations!!Food preparation and serving related occupations","Estimate!!Total!!Male!!Service occupations!!Building and grounds cleaning and maintenance occupations","Margin of Error!!Total!!Male!!Service occupations!!Building and grounds cleaning and maintenance occupations","Estimate!!Total!!Male!!Service occupations!!Personal care and service occupations","Margin of Error!!Total!!Male!!Service occupations!!Personal care and service occupations","Estimate!!Total!!Male!!Sales and office occupations","Margin of Error!!Total!!Male!!Sales and office occupations","Estimate!!Total!!Male!!Sales and office occupations!!Sales and related occupations","Margin of Error!!Total!!Male!!Sales and office occupations!!Sales and related occupations","Estimate!!Total!!Male!!Sales and office occupations!!Office and administrative support occupations","Margin of Error!!Total!!Male!!Sales and office occupations!!Office and administrative support occupations","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","Estimate!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Margin of Error!!Total!!Male!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Production occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Production occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Transportation occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Transportation occupations","Estimate!!Total!!Male!!Production, transportation, and material moving occupations!!Material moving occupations","Margin of Error!!Total!!Male!!Production, transportation, and material moving occupations!!Material moving occupations","Estimate!!Total!!Female","Margin of Error!!Total!!Female","Estimate!!Total!!Female!!Management, business, science, and arts occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Management occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Management, business, and financial occupations!!Business and financial operations occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Computer and mathematical occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Architecture and engineering occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Computer, engineering, and science occupations!!Life, physical, and social science occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Community and social service occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Legal occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Education, training, and library occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Education, legal, community service, arts, and media occupations!!Arts, design, entertainment, sports, and media occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health diagnosing and treating practitioners and other technical occupations","Estimate!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","Margin of Error!!Total!!Female!!Management, business, science, and arts occupations!!Healthcare practitioners and technical occupations!!Health technologists and technicians","Estimate!!Total!!Female!!Service occupations","Margin of Error!!Total!!Female!!Service occupations","Estimate!!Total!!Female!!Service occupations!!Healthcare support occupations","Margin of Error!!Total!!Female!!Service occupations!!Healthcare support occupations","Estimate!!Total!!Female!!Service occupations!!Protective service occupations","Margin of Error!!Total!!Female!!Service occupations!!Protective service occupations","Estimate!!Total!!Female!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors","Margin of Error!!Total!!Female!!Service occupations!!Protective service occupations!!Fire fighting and prevention, and other protective service workers including supervisors","Estimate!!Total!!Female!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","Margin of Error!!Total!!Female!!Service occupations!!Protective service occupations!!Law enforcement workers including supervisors","Estimate!!Total!!Female!!Service occupations!!Food preparation and serving related occupations","Margin of Error!!Total!!Female!!Service occupations!!Food preparation and serving related occupations","Estimate!!Total!!Female!!Service occupations!!Building and grounds cleaning and maintenance occupations","Margin of Error!!Total!!Female!!Service occupations!!Building and grounds cleaning and maintenance occupations","Estimate!!Total!!Female!!Service occupations!!Personal care and service occupations","Margin of Error!!Total!!Female!!Service occupations!!Personal care and service occupations","Estimate!!Total!!Female!!Sales and office occupations","Margin of Error!!Total!!Female!!Sales and office occupations","Estimate!!Total!!Female!!Sales and office occupations!!Sales and related occupations","Margin of Error!!Total!!Female!!Sales and office occupations!!Sales and related occupations","Estimate!!Total!!Female!!Sales and office occupations!!Office and administrative support occupations","Margin of Error!!Total!!Female!!Sales and office occupations!!Office and administrative support occupations","Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations","Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Farming, fishing, and forestry occupations","Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Construction and extraction occupations","Estimate!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Margin of Error!!Total!!Female!!Natural resources, construction, and maintenance occupations!!Installation, maintenance, and repair occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations!!Production occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations!!Production occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations!!Transportation occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations!!Transportation occupations","Estimate!!Total!!Female!!Production, transportation, and material moving occupations!!Material moving occupations","Margin of Error!!Total!!Female!!Production, transportation, and material moving occupations!!Material moving occupations",
"5001500US0101","Congressional District 1 (115th Congress), Alabama","295365","6876","150834","4272","42163","3220","20657","2442","16216","2314","4441","1104","8050","1647","2155","867","4670","1325","1225","627","9530","1572","1416","627","1742","695","4415","1168","1957","648","3926","975","3020","919","906","445","24863","2855","284","273","4240","1033","2403","816","1837","748","8780","2294","9302","1869","2257","901","23605","2541","15908","2097","7697","1510","27360","2765","856","554","16678","2466","9826","1842","32843","3586","18533","2763","8586","1597","5724","1353","144531","5100","55885","3666","17527","2136","10715","1723","6812","1306","3702","1191","1916","1029","1249","659","537","341","19991","2325","3316","938","1063","458","12686","2049","2926","897","14665","2067","10090","1817","4575","1106","31508","3088","6946","1685","2178","807","798","444","1380","671","9157","1751","5287","1346","7940","1714","46926","3998","20742","2969","26184","2653","1641","867","467","415","919","693","255","275","8571","2422","4476","2105","3356","1170","739","505",
"5001500US0102","Congressional District 2 (115th Congress), Alabama","277862","5697","142327","3626","39583","2636","18529","1801","14808","1793","3721","848","8328","1449","4255","1016","2834","966","1239","601","9469","1279","2544","733","1175","446","3979","935","1771","573","3257","699","2467","586","790","409","20339","2445","805","463","5197","1118","2396","658","2801","950","5409","1076","7248","1462","1680","660","22466","2026","13341","1603","9125","1437","26625","2602","2013","631","12725","1873","11887","1600","33314","2750","15559","1871","11693","1698","6062","1186","135535","4113","49404","2939","15795","1981","9935","1492","5860","1306","2004","609","1107","434","218","169","679","419","17581","1948","2979","812","979","475","11895","1727","1728","596","14024","1866","8879","1489","5145","1100","26929","2635","5173","1094","943","454","547","384","396","233","10161","2029","3636","786","7016","1524","45648","2858","19211","2626","26437","1861","1598","729","220","153","112","98","1266","752","11956","1672","7609","1501","2762","721","1585","526",
"5001500US0103","Congressional District 3 (115th Congress), Alabama","298264","7428","153998","5059","41960","3448","21388","2922","16395","2478","4993","1241","7053","1338","2535","726","3691","1145","827","442","9067","1498","2297","822","985","467","4790","1011","995","553","4452","994","2413","598","2039","725","20059","2462","865","603","5142","1347","2419","880","2723","988","6323","1628","5994","1294","1735","713","24124","3467","14877","2594","9247","2047","24921","3048","1063","571","14471","2584","9387","1707","42934","3770","25316","2838","10574","2112","7044","1501","144266","4984","54703","3676","15070","1911","9310","1491","5760","1301","3364","1158","1699","823","1017","687","648","310","20950","2518","3205","860","1136","547","13729","2110","2880","936","15319","1996","7487","1529","7832","1482","29546","2884","6156","1648","1031","524","612","397","419","305","10318","1870","3897","1190","8144","1619","45002","3106","16344","2084","28658","2823","879","602","262","400","259","253","358","365","14136","2310","11540","1930","815","393","1781","810",
"5001500US0104","Congressional District 4 (115th Congress), Alabama","271895","7109","150558","5114","34029","2509","17863","1929","14718","1877","3145","721","4924","1082","1510","607","3023","698","391","300","6809","1093","2160","668","915","515","2937","703","797","453","4433","1190","3034","1015","1399","748","18039","2271","370","335","4177","884","2003","640","2174","715","5146","1431","7656","1610","690","415","20764","2375","13618","1899","7146","1371","29816","3044","1414","630","16366","2398","12036","1800","47910","3234","27424","2461","12351","2092","8135","1735","121337","4154","45586","2991","12701","1787","8173","1396","4528","1172","1517","796","533","278","385","391","599","468","15490","1859","2234","713","886","529","11408","1864","962","572","15878","1821","10720","1609","5158","1266","22878","2113","5340","1150","819","475","147","170","672","431","8502","1299","3205","868","5012","989","38277","3234","13491","1993","24786","2979","1715","682","449","312","606","428","660","391","12881","2088","8545","1763","1219","560","3117","950",
"5001500US0105","Congressional District 5 (115th Congress), Alabama","327198","5539","175227","4275","68083","3732","25855","2357","21469","2086","4386","969","24525","2573","9400","1626","13681","1869","1444","743","13141","1770","1605","609","1326","608","7364","1489","2846","907","4562","994","3181","817","1381","661","23401","3199","614","454","5856","1465","3747","1230","2109","809","7584","1648","8414","1757","933","532","24694","3070","15603","2423","9091","1716","25401","2701","1401","925","12782","1929","11218","2130","33648","3329","18957","2358","9124","2021","5567","1320","151971","4168","66303","3840","19744","2213","10674","1970","9070","1600","8287","1586","4567","1032","3144","1182","576","351","21324","2805","3543","1063","1284","762","13524","2130","2973","1142","16948","2307","11017","2021","5931","1333","31186","3239","5565","1283","1571","628","1140","532","431","304","10604","2083","4513","1508","8933","1804","44042","3172","15258","2187","28784","2831","893","569","208","285","309","370","376","349","9547","1624","7158","1388","1675","666","714","475",
"5001500US0106","Congressional District 6 (115th Congress), Alabama","326940","7587","172158","4639","67900","3113","33723","2413","24591","2064","9132","1525","13871","1710","7602","1414","5038","1017","1231","527","13865","1939","3180","958","3121","819","4898","1123","2666","855","6441","1045","4693","874","1748","693","18737","2293","677","723","4709","983","2646","761","2063","711","6080","1509","6498","1502","773","440","32955","2948","22112","2472","10843","1755","26682","2418","313","247","14907","2027","11462","1520","25884","2662","12055","2081","8360","1523","5469","1293","154782","4875","74531","3838","26757","2640","15086","2053","11671","1753","4059","1129","2083","732","668","342","1308","553","24893","2595","3637","969","1883","802","15198","2190","4175","1282","18822","2036","13800","1890","5022","1242","24735","2852","6352","1435","1027","713","371","254","656","668","8493","1890","2863","982","6000","1127","47895","3058","17141","2132","30754","2723","1147","589","97","174","633","466","417","315","6474","1608","4287","1445","1385","601","802","486",
"5001500US0107","Congressional District 7 (115th Congress), Alabama","268361","9087","129263","5531","30793","3247","11709","1662","8778","1434","2931","873","5885","1435","2177","1004","3049","1065","659","413","9038","1830","2235","985","847","489","3374","875","2582","1019","4161","1320","2700","1029","1461","727","20457","2551","1199","622","3234","978","2172","897","1062","415","7121","1610","7840","1825","1063","488","20277","2786","10767","2005","9510","1891","24007","2983","868","731","13654","1955","9485","1848","33729","3615","14034","2244","10169","1794","9526","1992","139098","6011","48020","4098","15657","2177","9345","1673","6312","1543","3438","1103","1149","519","1455","962","834","473","17137","2496","3015","884","863","432","12103","2220","1156","398","11788","1949","6870","1392","4918","1189","32706","3039","7388","1623","2005","893","1552","696","453","486","10104","2010","5944","1493","7265","1490","44721","3587","17636","2737","27085","2883","1107","661","89","104","970","680","48","50","12544","2042","8945","1875","1874","807","1725","677",
"5001500US0200","Congressional District (at Large) (115th Congress), Alaska","344982","5496","184802","4390","60074","3779","25502","2483","20472","2066","5030","1311","13748","2015","4699","1139","6233","1543","2816","812","13460","1949","2861","938","1118","506","6178","1177","3303","985","7364","1374","5115","1154","2249","895","28173","2810","1247","695","7337","1655","3733","969","3604","1006","7402","1712","8521","1696","3666","1277","29005","2282","13373","1671","15632","2028","36814","3230","2867","612","20044","2106","13903","2093","30736","3158","12454","2263","11567","1798","6715","1479","160180","3461","68848","3465","21991","2246","14419","1830","7572","1357","5617","1256","2270","1062","1242","543","2105","603","26556","2329","6852","1397","1989","779","15248","1899","2467","787","14684","1955","10144","1569","4540","1158","31742","2432","6015","1235","1468","484","937","426","531","267","9944","1887","4741","1164","9574","1659","51161","3403","16249","2155","34912","2879","1988","838","720","608","932","486","336","239","6441","1203","3097","834","2262","744","1082","459",
"5001500US0401","Congressional District 1 (115th Congress), Arizona","290888","7194","151830","5816","42620","3002","18655","2192","14747","1977","3908","978","10227","1899","4786","1436","4298","1040","1143","536","9716","1837","896","392","588","277","6725","1651","1507","703","4022","1045","2532","778","1490","719","33715","3122","1345","630","8972","1953","4067","920","4905","1541","11200","2094","8222","1567","3976","1014","24484","2594","16092","2186","8392","1381","27508","2720","2779","1109","15231","1863","9498","2044","23503","2481","9698","1900","8038","1310","5767","1420","139058","3689","51044","3261","18497","1883","12144","1679","6353","1280","3013","858","1155","464","232","202","1626","669","18851","2051","3151","898","1176","424","13810","1804","714","370","10683","1584","7307","1264","3376","884","35056","2979","5185","1023","2381","902","1143","560","1238","717","11864","1649","5444","1266","10182","1769","45951","3030","15909","2504","30042","2865","1128","503","183","248","544","389","401","259","5879","1113","2394","847","2582","725","903","423",
"5001500US0402","Congressional District 2 (115th Congress), Arizona","304381","7192","161818","5168","62121","3126","22954","2147","17370","1773","5584","1052","15725","1738","7546","1279","6131","1014","2048","807","15797","2390","1983","811","1677","571","8483","1388","3654","1628","7645","1581","5147","1230","2498","898","31388","2668","1583","624","9690","1556","3778","1068","5912","1116","8059","1469","8746","1905","3310","906","29900","3065","16190","2406","13710","2117","19158","2190","1174","598","10346","1806","7638","1323","19251","2335","7520","1573","6940","1542","4791","1122","142563","5122","62447","3703","21377","2096","12729","1748","8648","1289","5569","1277","2876","923","1118","465","1575","688","21951","2040","3494","947","1505","607","13543","1621","3409","860","13550","1925","10227","1605","3323","818","27433","2918","4619","1052","2005","757","692","400","1313","651","8137","1915","3599","1167","9073","1493","47331","3585","16312","1814","31019","3222","1076","631","347","447","429","404","300","276","4276","1202","1969","781","1248","599","1059","508",
"5001500US0403","Congressional District 3 (115th Congress), Arizona","331631","9233","179768","6018","38088","3613","16849","2606","12002","1903","4847","1621","7862","1383","2947","843","3960","1222","955","461","9371","1799","1766","975","279","226","5066","1233","2260","791","4006","1147","1650","620","2356","969","35699","3668","823","436","7671","1573","3628","1168","4043","1122","11168","1938","12687","2126","3350","1163","31067","2569","16206","2124","14861","1819","41223","3500","3646","1136","23656","2860","13921","2173","33691","3463","10844","2206","14129","2024","8718","1600","151863","6186","46647","3837","17060","2304","10928","1950","6132","1460","2462","744","1569","593","523","345","370","247","18332","2467","2590","722","1178","768","11385","2024","3179","897","8793","1683","4940","1179","3853","1230","40725","3190","6651","1422","2109","913","1048","505","1061","624","13898","2100","7500","1614","10567","1772","51821","4279","16435","2752","35386","3355","3186","936","1910","815","780","490","496","339","9484","2010","4127","1241","2424","972","2933","1079",
"5001500US0404","Congressional District 4 (115th Congress), Arizona","276509","8718","148165","5962","37819","3304","19338","2602","15111","2476","4227","1129","6774","1324","3138","985","2976","851","660","349","7045","1334","1126","624","609","356","3809","1034","1501","645","4662","1212","3339","951","1323","728","32724","3668","597","458","8198","2019","4146","1435","4052","1372","10361","2369","9174","1955","4394","1665","26015","3590","15437","2265","10578","2741","26595","2977","2444","925","14451","2246","9700","1800","25012","3850","8756","2333","11591","2143","4665","1296","128344","5766","43853","3874","14493","2353","10482","1943","4011","1383","1637","712","683","403","149","206","805","468","17961","2641","2607","827","1159","656","11493","1928","2702","1183","9762","2012","6065","1424","3697","976","31349","2848","5606","1509","2443","943","1036","668","1407","732","9710","1869","4660","1046","8930","1740","45458","3574","16408","2463","29050","2864","1733","804","673","429","377","417","683","529","5951","1529","3771","1202","785","389","1395","867",
"5001500US0405","Congressional District 5 (115th Congress), Arizona","388022","9862","207184","6270","86567","3939","40055","2817","29975","2714","10080","1598","28009","2378","11747","1791","14737","1984","1525","561","12760","1936","2152","903","1608","585","6041","1309","2959","875","5743","1125","3883","995","1860","700","26534","2525","817","404","5874","1019","3246","887","2628","689","10304","2141","6785","1327","2754","815","47468","4025","28039","3069","19429","2371","24743","2806","880","595","12994","1825","10869","1974","21872","2743","7941","1318","9085","1685","4846","1358","180838","5804","84850","3776","32316","2747","17995","1991","14321","2051","6154","1224","3043","760","2352","840","759","379","26653","2482","2591","627","1543","570","18624","2286","3895","1287","19727","2254","14469","1903","5258","1258","31169","3650","6339","1350","1853","916","1248","750","605","362","7887","1396","3675","1122","11415","1928","57307","4058","17018","2302","40289","3210","625","407","0","208","165","200","460","349","6887","1303","3368","795","1940","815","1579","686",
"5001500US0406","Congressional District 6 (115th Congress), Arizona","390437","10016","208188","6443","91975","4783","48690","3397","35324","2582","13366","1975","18767","1986","11675","1437","5977","1280","1115","457","15536","2470","2140","776","2754","944","5928","1582","4714","1181","8982","1323","7499","1215","1483","485","27828","3417","1184","660","3815","865","2850","733","965","376","10072","2096","8459","1924","4298","1120","43192","3518","29288","3142","13904","1904","22913","3349","152","190","13314","2363","9447","2178","22280","2896","7166","1512","10243","1851","4871","1523","182249","6699","85847","4615","36545","2918","22720","2490","13825","1684","5552","1264","2815","724","757","433","1980","750","24186","2932","3436","1001","2518","768","14132","2100","4100","978","19564","2620","14492","1995","5072","1338","31454","4031","4730","1331","1720","678","1311","626","409","316","9678","2223","2558","886","12768","2681","58248","3973","22239","2529","36009","3392","986","465","140","170","783","445","63","105","5714","1263","2895","834","1797","747","1022","574",
"5001500US0407","Congressional District 7 (115th Congress), Arizona","372243","9270","205463","6942","33897","3147","17424","2184","12045","1829","5379","1087","5776","1272","3641","1102","1706","557","429","260","7860","1560","1329","551","544","310","3020","953","2967","816","2837","941","1117","442","1720","815","41742","3769","1232","777","4880","1141","3514","1019","1366","640","12737","1908","20107","2564","2786","862","36516","2933","16115","2198","20401","2641","50805","4363","991","542","38170","4208","11644","2510","42503","3804","12495","2087","13871","2040","16137","2479","166780","5249","47931","3122","18533","1969","11788","1678","6745","1541","3415","1136","1398","703","1085","654","932","443","16352","2126","4723","1325","1456","620","7778","1707","2395","895","9631","1751","5526","1364","4105","1042","47379","4092","6154","1460","1541","595","935","375","606","431","13371","2413","13745","2212","12568","2159","56853","4111","17693","2550","39160","3234","1988","744","267","226","915","555","806","419","12629","2087","6433","1577","1580","661","4616","1203",
